recipe_id,ingredient_id,quantity
302120,7946,
302120,1297,1   cup
302120,4610,1   large   quantity
302120,2499,1
302120,5180,grated
66241,2499,2
66241,63,2   cups
66241,6906,2   tablespoons
66241,332,2   teaspoons
66241,335,1   teaspoon
66241,6270,1   teaspoon
66241,869,2   cups
66241,7367,4   tablespoons
66241,7470,1/2  teaspoon
66241,7557,1 -2   tablespoon
66241,4568,
110506,800,
110506,63,
110506,7367,
110506,1511,
110506,7557,
110506,2499,
110506,7449,
110506,335,
110506,6270,
110506,869,
110506,7103,
121490,2683,1 3/4  cups
121490,332,1/2  teaspoon
121490,335,1/4  teaspoon
121490,6270,1/2  teaspoon
121490,1511,1/4  teaspoon
121490,840,1/2  cup
121490,6906,3/4  cup
121490,4320,1/4  cup
121490,2499,2
121490,6654,1/2  cup
121490,7449,1   teaspoon
121490,6846,1 1/4  cups
121490,7642,3/4  cup
43072,4975,1/2  cup
43072,1838,1/2  cup
43072,7449,1   teaspoon
43072,2509,4
105670,2826,25
105670,1910,14 -16   ounces
105670,1168,2   cups
105670,298,2 (16   ounce) packages
42780,2683,3/4  cup
42780,1833,2   tablespoons
42780,335,1/4  teaspoon
42780,332,1/4  teaspoon
42780,6270,1/4  teaspoon
42780,7655,3/4  cup
108231,5006,2   teaspoons
108231,5010,1   medium
108231,3203,4
108231,3957,1   medium
108231,3440,1/2  medium
108231,1252,4   small
108231,2991,2   cups
108231,2461,1/2  cup
108231,2007,2   teaspoons
108231,1329,1   teaspoon
108231,1119,1/4  teaspoon
108231,1257,4 (14   ounce) cans
108231,2131,2 (14   ounce) cans
108231,7233,2 (8   ounce) cans
108231,7258,
29544,5574,4
29544,5010,2   medium
29544,1130,2
29544,3440,1   large
29544,6819,1 (14 1/2  ounce) can
29544,4053,1/2  cup
29544,1504,2   tablespoons
29544,800,2   tablespoons
29544,7946,
29544,4253,1   tablespoon
29544,432,1
29544,1833,2   tablespoons
29544,7655,2   tablespoons
35988,5006,1   tablespoon
35988,5010,1/2  cup   minced
35988,3203,1
35988,1257,4 -6   cups
35988,7863,1 (14   ounce) can
35988,7257,1 (9   ounce) package  fresh
35988,4096,
35988,1867,
35988,2898,10   ounces
35988,5180,1/4  cup   freshly grated
45940,63,1/2  cup
